date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,tranches_d_age_1,tranches_d_age_2,roubaisien_ou_non,code_iris_de_roubaix,nom_de_l_iris_a_roubaix,commune_de_residence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre_d_annees_d_adhesion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,,,Roubaisien,,,ROUBAIX,,,Collectivités (Classes maternelles et primaires),3.0,gratuite,6,0,6,0,6,0,0,NP,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595121003,PILE NORD,ROUBAIX,,,Médiathèque,3.0,gratuite,2,0,2,0,2,0,0,Femme,"50.6916022904,3.19347577858"
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120203,ALMA NORD,ROUBAIX,,,Médiathèque,3.0,gratuite,1,1,0,0,0,0,0,Femme,"50.7031080893,3.16783984211"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,TOURNAI,,,Médiathèque,3.0,gratuite,5,0,5,0,5,0,0,Homme,
2020,prêt,Emprunteur,Emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Roubaisien,595120802,MOULIN SUD,ROUBAIX,,,Médiathèque,3.0,gratuite,2,0,2,2,0,0,0,Femme,"50.6826474805,3.18437265588"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Roubaisien,595120701,BARBIEUX - VAUBAN,ROUBAIX,,,Médiathèque,3.0,gratuite,3,0,3,0,3,0,0,Femme,"50.6795654267,3.16516830273"
2020,étude + postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120602,NATIONS UNIES,ROUBAIX,,,Médiathèque,3.0,gratuite,6,6,0,0,0,1,0,Femme,"50.6939680957,3.17350204159"
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120703,EDOUARD VAILLANT,ROUBAIX,,,Médiathèque,3.0,gratuite,6,4,6,0,6,0,0,Homme,"50.6730957834,3.1801075534"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120903,STE ELISABETH NORD,ROUBAIX,,,Médiathèque,4.0,gratuite,3,0,3,0,3,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,HEM,,,Médiathèque,4.0,gratuite,1,0,1,0,1,0,0,Homme,
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,TOURCOING,,,Médiathèque,4.0,gratuite,81,81,0,0,0,0,0,Homme,
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,CROIX,,,Médiathèque,4.0,gratuite,1,1,0,0,0,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120603,ANSEELE,ROUBAIX,,,Médiathèque,4.0,gratuite,1,0,1,0,1,0,0,Homme,"50.6893401467,3.18056466302"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595121202,JUSTICE,ROUBAIX,,,Médiathèque,4.0,gratuite,0,0,0,0,0,0,0,Homme,"50.677695068,3.20089726219"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120901,STE ELISABETH CENTRE,ROUBAIX,,,Médiathèque,4.0,gratuite,6,0,6,0,6,0,0,Femme,
2020,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120603,ANSEELE,ROUBAIX,,,Médiathèque,4.0,gratuite,12,9,7,0,7,0,1,Femme,"50.6893401467,3.18056466302"
2020,prêt,Emprunteur,Emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque,4.0,gratuite,1,0,1,1,0,0,0,Femme,"50.6797344577,3.18141212365"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque Plus (5 €),4.0,payante,0,0,0,0,0,0,0,Homme,"50.6797344577,3.18141212365"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120403,HOMMELET SUD,ROUBAIX,,,Médiathèque,4.0,gratuite,1,0,1,0,1,0,0,Homme,"50.6950388086,3.18595896155"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,HEM,,,Médiathèque,4.0,gratuite,0,0,0,0,0,0,0,Femme,
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120401,HOMMELET NORD,ROUBAIX,,,Médiathèque,4.0,gratuite,37,37,0,0,0,0,0,Femme,"50.700713575,3.18038314815"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120503,EPEULE SUD,ROUBAIX,,,Médiathèque Plus (17 €),4.0,payante,2,0,2,0,2,0,0,Homme,"50.6858555581,3.16493385724"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,4.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6913285696,3.17220444227"
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120401,HOMMELET NORD,ROUBAIX,,,Médiathèque,3.0,gratuite,2,2,0,0,0,0,0,Femme,"50.700713575,3.18038314815"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120203,ALMA NORD,ROUBAIX,,,Médiathèque,4.0,gratuite,0,0,0,0,0,0,0,Homme,"50.7031080893,3.16783984211"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Roubaisien,595120703,EDOUARD VAILLANT,ROUBAIX,,,Médiathèque,3.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6730957834,3.1801075534"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque,3.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6899026291,3.16585093674"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595121001,PILE EST,ROUBAIX,,,Médiathèque,3.0,gratuite,0,0,0,0,0,0,0,Femme,"50.6877901549,3.19586939419"
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120901,STE ELISABETH CENTRE,ROUBAIX,,,Médiathèque,3.0,gratuite,6,6,0,0,0,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120703,EDOUARD VAILLANT,ROUBAIX,,,Médiathèque,3.0,gratuite,0,0,0,0,0,0,0,Femme,"50.6730957834,3.1801075534"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque,3.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6899026291,3.16585093674"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque Plus (5 €),3.0,payante,5,0,5,0,5,0,0,Homme,"50.6797344577,3.18141212365"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,3.0,gratuite,1,0,1,0,1,0,0,Homme,"50.6913285696,3.17220444227"
2020,étude + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Utilisateur Salle d'étude,Non utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,RONCQ,,,Médiathèque,3.0,gratuite,2,0,0,0,0,1,1,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,3.0,gratuite,3,0,3,0,3,0,0,Homme,"50.6913285696,3.17220444227"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120802,MOULIN SUD,ROUBAIX,,,Médiathèque,3.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6826474805,3.18437265588"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,,,Roubaisien,,,ROUBAIX,,,Collectivités (Classes maternelles et primaires),3.0,gratuite,5,0,5,0,5,0,0,NP,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120401,HOMMELET NORD,ROUBAIX,,,Médiathèque,3.0,gratuite,1,0,1,0,1,0,0,Femme,"50.700713575,3.18038314815"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,HEM,,,Médiathèque,3.0,gratuite,2,0,2,0,2,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120902,STE ELISABETH SUD,ROUBAIX,,,Médiathèque,2.0,gratuite,1,0,1,0,1,0,0,Femme,
2020,wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,TOURCOING,,,Médiathèque,2.0,gratuite,1,0,0,0,0,0,1,Homme,
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120802,MOULIN SUD,ROUBAIX,,,Médiathèque,2.0,gratuite,1,1,0,0,0,0,0,Femme,"50.6826474805,3.18437265588"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120101,MACKELLERIE,ROUBAIX,,,Médiathèque,2.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6920631481,3.15579587334"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120802,MOULIN SUD,ROUBAIX,,,Médiathèque,2.0,gratuite,3,0,3,0,3,0,0,Femme,"50.6826474805,3.18437265588"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120402,HOMMELET CENTRE,ROUBAIX,,,Médiathèque,2.0,gratuite,0,0,0,0,0,0,0,Homme,"50.698098803,3.18251403697"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Non Roubaisien,,,59290 - WASQUEHAL,,,Médiathèque,2.0,gratuite,0,0,0,0,0,0,0,Femme,
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120301,ENTREPONT - CARTIGNY,ROUBAIX,,,Médiathèque,2.0,gratuite,4,4,0,0,0,0,0,Homme,"50.6977649684,3.19309371103"
2020,postes + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595121003,PILE NORD,ROUBAIX,,,Consultation sur place,2.0,gratuite,39,2,0,0,0,0,38,Homme,"50.6916022904,3.19347577858"
2020,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Roubaisien,595121203,FRATERNITE,ROUBAIX,,,Médiathèque,2.0,gratuite,2,0,2,1,1,0,0,Femme,"50.6828469736,3.19535999516"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120703,EDOUARD VAILLANT,ROUBAIX,,,Médiathèque,2.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6730957834,3.1801075534"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,MOUVAUX,,,Médiathèque,2.0,gratuite,12,0,12,0,12,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque,2.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6899026291,3.16585093674"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque,2.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6797344577,3.18141212365"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,DOTTIGNIES,,,Médiathèque,2.0,gratuite,4,0,4,0,4,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,0.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6913285696,3.17220444227"
2020,prêt + étude,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120402,HOMMELET CENTRE,ROUBAIX,,,Médiathèque,2.0,gratuite,2,0,1,0,1,1,0,Femme,"50.698098803,3.18251403697"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120401,HOMMELET NORD,ROUBAIX,,,Médiathèque,0.0,gratuite,0,0,0,0,0,0,0,Homme,"50.700713575,3.18038314815"
2020,étude,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,LILLE,,,Médiathèque,2.0,gratuite,7,0,0,0,0,7,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,CROIX,,,Médiathèque,0.0,gratuite,1,0,1,0,1,0,0,Femme,
2020,postes + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120403,HOMMELET SUD,ROUBAIX,,,Médiathèque,2.0,gratuite,1,1,0,0,0,0,1,Femme,"50.6950388086,3.18595896155"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,MARCQ-EN-BAROEUL,,,Médiathèque,15.0,gratuite,0,0,0,0,0,0,0,Homme,
2020,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120302,HUTIN - ORAN,ROUBAIX,,,Médiathèque,2.0,gratuite,3,0,3,2,1,0,0,Femme,"50.7053729807,3.18718772068"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,LEERS,,,Médiathèque,7.0,gratuite,2,0,2,0,2,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120403,HOMMELET SUD,ROUBAIX,,,Médiathèque,2.0,gratuite,7,0,7,0,7,0,0,Homme,"50.6950388086,3.18595896155"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120902,STE ELISABETH SUD,ROUBAIX,,,Médiathèque,11.0,gratuite,0,0,0,0,0,0,0,Femme,
2020,étude + postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120301,ENTREPONT - CARTIGNY,ROUBAIX,,,Médiathèque,2.0,gratuite,20,20,0,0,0,3,0,Homme,"50.6977649684,3.19309371103"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120903,STE ELISABETH NORD,ROUBAIX,,,Médiathèque,7.0,gratuite,0,0,0,0,0,0,0,Homme,
2020,prêt + étude + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,TOURCOING,,,Médiathèque,2.0,gratuite,22,11,4,0,4,14,1,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque,15.0,gratuite,6,0,6,0,6,0,0,Femme,"50.6899026291,3.16585093674"
2020,prêt + étude,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque,2.0,gratuite,7,0,5,0,5,3,0,Femme,"50.6797344577,3.18141212365"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,VILLENEUVE-D'ASCQ,,,Médiathèque,15.0,gratuite,11,0,11,0,11,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,CROIX,,,Médiathèque,2.0,gratuite,2,0,2,0,2,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,TOURCOING,,,Médiathèque,9.0,gratuite,1,0,1,0,1,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque,2.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6899026291,3.16585093674"
